,Tesla Avg Stock Price Per Month,Ford Avg Stock Price Per Month,VolksWagen Avg Stock Price Per Month
2018-02-01,22.48127,11.53900,35.60900
2018-03-01,21.98207,11.53500,36.56910
2018-04-01,21.53067,11.54000,37.63610
2018-05-01,21.27240,11.57300,38.31710
2018-06-01,21.18607,11.57700,38.66210
2018-07-01,20.89967,11.38400,38.94910
2018-08-01,20.70053,11.10500,36.92010
2018-09-01,20.40667,10.77800,34.42510
2018-10-01,20.57980,10.48400,32.11810
2018-11-01,20.55427,10.32800,29.41409
2018-12-01,20.48587,10.03200,27.09469
2019-01-01,20.75847,9.80400,24.79759
2019-02-01,20.93167,9.55700,22.38509
2019-03-01,20.89920,9.28000,20.19359
2019-04-01,20.20413,9.21800,18.60259
2019-05-01,19.45093,9.16600,16.59059
2019-06-01,18.92960,9.24100,16.64309
2019-07-01,18.77520,9.26900,16.55009
2019-08-01,18.03047,9.23100,16.47009
2019-09-01,17.29973,9.20600,16.47210
2019-10-01,17.18053,9.30000,16.80250
2019-11-01,17.33333,9.32600,17.03900
2019-12-01,17.98967,9.37900,17.27800
2020-01-01,20.46107,9.38300,17.49250
2020-02-01,23.32307,9.03400,17.39750
2020-03-01,25.58200,8.56500,16.99950
2020-04-01,29.30480,8.05100,16.71100
2020-05-01,33.26073,7.66900,16.52850
2020-06-01,38.95540,7.36000,16.45350
2020-07-01,46.88800,7.10500,16.21970
2020-08-01,61.39920,6.92800,15.98170
2020-09-01,73.49993,6.68800,15.66820
2020-10-01,83.64573,6.53100,15.17570
2020-11-01,98.22860,6.55700,15.07720
2020-12-01,117.29767,6.74000,15.29619
2021-01-01,140.25533,7.31000,16.05269
2021-02-01,157.55947,7.97100,16.75194
2021-03-01,174.25713,8.62500,18.07844
2021-04-01,190.70640,9.17100,19.15144
2021-05-01,202.00867,9.96300,20.42824
2021-06-01,208.05466,10.76700,21.26824
2021-07-01,216.66100,11.49600,22.08874
2021-08-01,228.25033,12.02600,22.99574
2021-09-01,235.17967,12.53400,23.56724
2021-10-01,248.79067,13.36300,23.94925
2021-11-01,260.49834,14.22900,23.87475
2021-12-01,273.20767,15.13600,23.79150
2022-01-01,282.16734,15.94100,23.05550
2022-02-01,287.53367,16.54300,22.42350
2022-03-01,302.61301,16.78100,21.39450
2022-04-01,308.98167,16.71100,20.43350
2022-05-01,311.35034,16.68400,19.66300
2022-06-01,309.27367,16.49400,18.62000
2022-07-01,313.13933,16.54700,17.76200
2022-08-01,303.56700,16.36300,16.93800
2022-09-01,291.93333,15.56400,16.32600
2022-10-01,279.46133,14.82400,15.59500
