Date,U.S. Regular All Formulations Retail Gasoline Prices (Dollars per Gallon)
Jan-2018,2.555
Feb-2018,2.587
Mar-2018,2.591
Apr-2018,2.757
May-2018,2.901
Jun-2018,2.891
Jul-2018,2.849
Aug-2018,2.836
Sep-2018,2.836
Oct-2018,2.86
Nov-2018,2.647
Dec-2018,2.366
Jan-2019,2.248
Feb-2019,2.309
Mar-2019,2.516
Apr-2019,2.798
May-2019,2.859
Jun-2019,2.716
Jul-2019,2.74
Aug-2019,2.621
Sep-2019,2.592
Oct-2019,2.627
Nov-2019,2.598
Dec-2019,2.555
Jan-2020,2.548
Feb-2020,2.442
Mar-2020,2.234
Apr-2020,1.841
May-2020,1.87
Jun-2020,2.082
Jul-2020,2.183
Aug-2020,2.182
Sep-2020,2.183
Oct-2020,2.158
Nov-2020,2.108
Dec-2020,2.195
Jan-2021,2.334
Feb-2021,2.501
Mar-2021,2.81
Apr-2021,2.858
May-2021,2.985
Jun-2021,3.064
Jul-2021,3.136
Aug-2021,3.158
Sep-2021,3.175
Oct-2021,3.291
Nov-2021,3.395
Dec-2021,3.307
Jan-2022,3.315
Feb-2022,3.517
Mar-2022,4.222
Apr-2022,4.109
May-2022,4.444
Jun-2022,4.929
Jul-2022,4.559
Aug-2022,3.975
Sep-2022,3.7
,
